A Jerusalem Contigo vs Vera Cruz FS | VIERNES 21:00 | C
A Jerusalem Contigo vs Paz | SABADO 1:00 | B
Vera Cruz FS vs Paz | SABADO 5:00 | C
Coronacion Campillos vs Vera Cruz FS | SABADO 19:00 | C
A Jerusalem Contigo vs Coronacion Campillos | SABADO 21:00 | A
Paz vs Coronacion Campillos | SABADO 23:00 | C
Los Moraitos vs Los Quintos F.S | VIERNES 22:00 | C
Tres Caidas vs La Butaca del Furrque | VIERNES 22:00 | B
Los Moraitos vs Tres Caidas | SABADO 2:00 | C
Los Quintos F.S vs La Butaca del Furrque | SABADO 2:00 | B
Los Moraitos vs La Butaca del Furrque | SABADO 20:00 | C
Tres Caidas vs Los Quintos F.S | SABADO 20:00 | B
Los Acólitos de Paco vs La Agrupa F.S | VIERNES 23:00 | B
Los Remedios vs Costangeles | VIERNES 23:00 | C
Costangeles vs La Agrupa F.S | SABADO 3:00 | B
Los Acólitos de Paco vs Los Remedios | SABADO 3:00 | C
Los Acólitos de Paco vs Costangeles | SABADO 21:00 | B
La Agrupa F.S vs Los Remedios | SABADO 21:00 | C
Fernando Guerrero vs Los Soleanos | SABADO 0:00 | C
Nazareno de Utrera vs Borriquita de Trajano | SABADO 0:00 | B
Fernando Guerrero vs Nazareno de Utrera | SABADO 4:00 | C
Los Soleanos vs Borriquita de Trajano | SABADO 4:00 | B
Fernando Guerrero vs Borriquita de Trajano | SABADO 22:00 | C
Los Soleanos vs Nazareno de Utrera | SABADO 22:00 | B
